service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","0","0","0","0","0","0","1","20140511","20140511"
"10","1","0","0","0","0","0","0","20140428","20140505"
"11","1","0","0","0","0","0","0","20140428","20140505"
"12","0","1","0","0","0","0","0","20140429","20140506"
"13","0","1","0","0","0","0","0","20140429","20140506"
"14","0","0","1","0","0","0","0","20140430","20140507"
"15","0","0","1","0","0","0","0","20140430","20140507"
"16","0","0","0","0","1","0","0","20140502","20140502"
"17","0","0","0","0","1","0","0","20140502","20140502"
"18","0","0","0","0","1","0","0","20140509","20140509"
"19","0","0","0","0","1","0","0","20140509","20140509"
"2","0","0","0","0","0","0","1","20140504","20140511"
"20","1","0","0","0","0","0","0","20140428","20140505"
"21","0","1","0","0","0","0","0","20140429","20140506"
"22","0","0","1","0","0","0","0","20140430","20140430"
"23","0","0","0","0","1","0","0","20140502","20140502"
"24","0","0","0","0","1","0","0","20140502","20140502"
"25","0","0","0","0","1","0","0","20140509","20140509"
"26","0","0","0","0","1","0","0","20140509","20140509"
"27","0","0","1","0","0","0","0","20140507","20140507"
"3","0","0","0","0","0","0","1","20140508","20140508"
"4","0","0","0","0","0","1","0","20140503","20140503"
"5","0","0","0","0","0","1","0","20140510","20140510"
"6","0","0","0","0","0","1","0","20140503","20140503"
"7","0","0","0","0","0","1","0","20140510","20140510"
"8","0","0","0","0","0","0","1","20140504","20140504"
"9","0","0","0","0","0","0","1","20140508","20140508"
